ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001944437-25-000002	0	1135	251051601	N
0002056532-25-000004	0	360	5827579	N
0000950123-25-005807	2	4412	111609440679	N
0001420506-25-001323	0	953	690905000	N
0001600403-25-000004	0	197	800222	N
0001683182-25-000003	0	63	524312	N
0002044858-25-000007	1	860	141507745	N
0001398344-25-009773	0	159	144971607	
0001986152-25-000046	0	105	223907708	N
0001986152-25-000045	0	93	450957904	N
0001986152-25-000044	0	137	130513991	N
0002058093-25-000003	0	26	312724759	N
0002056334-25-000002	6	77	135269672	N
0001771944-25-000003	0	20	375826623	N
0001437749-25-017331	0	432	369575913	N
0001420506-25-001316	0	59	112495086	N
0001104659-25-049879	30	128	24844856498	
0001965613-25-000004	0	18	237002246	
0001322924-25-000005	0	33	195446318	N
0001839435-25-000005	0	35	516795482	N
0001592828-25-000006	20	3475	7026852756	N
0001085146-25-003364	0	733	2199734095	N
0001085146-25-003362	4	48	185277955	N
0001599863-25-000005	0	278	2255179116	N
0002067972-25-000002	0	1189	206218820	N
0002013334-25-000010	0	12	276520753	N
0001080132-25-000002	0	92	238221766	N
0001172661-25-002413	0	40	178743303	
0001213900-25-044633	0	12	475989301	
0001455468-25-000002	2	132	229520425	N
0001398344-25-009753	1	261	574305180	
0001214659-25-007923	0	531	906640541	
0001109147-25-000004	0	136	10418576328	
0001011443-25-000023	0	10	1815534991	
0001062993-25-009580	0	323	1277511315	N
0001698926-25-000002	0	126	187799448	N
0001800608-25-000002	0	56	33944225	N
0001067926-25-000005	0	41	1321437	N
0001085146-25-003360	0	24	1984781429	N
0001337263-25-000004	0	207	1547533000	N
0002032685-25-000002	0	1	118141700	N
0000950123-25-005774	0	96	266945788	N
0001172661-25-002412	0	7	167131162	
0001646639-25-000002	0	137	1652434363	N
0001642274-25-000004	0	14	140805	N
0001378559-25-000001	0	113	239310000	N
0001445893-25-000003	0	163	142064838406	
0000950123-25-005786	0	234	5007182389	N
0001172661-25-002411	0	49	447058441	
0001913231-25-000002	9	3344	2328093190	N
0000950123-25-005782	1	643	2482167972	N
0001062993-25-009589	0	338	721272658	N
0000950123-25-005784	5	1070	3249712938	N
0001420506-25-001314	0	10	183432930	N
0001600136-25-000007	0	116	1661532224	N
0002051323-25-000006	0	740	2874328581	N
0001892688-25-000130	0	14	303631659	N
0001600151-25-000002	0	734	1309136	N
0001078013-25-000004	0	1536	11179583001	N
0001398344-25-009704	0	798	2616849374	
0001653169-25-000005	0	229	433462173	N
0001569550-25-000002	0	92	81810369	
0000051762-25-000002	0	165	1959663984	N
0001123292-25-000242	0	2	311379000	
0001991835-25-000002	0	48	226474895	N
0001080171-25-000011	0	433	3960495012	N
0002001471-25-000002	0	94	839141734	N
0001962449-25-000002	0	376	2607093214	N
0001420506-25-001307	0	34	134669302	N
0001890149-25-000004	1	1904	541180335	N
0001594591-25-000003	0	3	119182944	N
0001420506-25-001304	0	73	190591409	N
0001806755-25-000003	0	222	2617752524	N
0001420506-25-001312	0	206	137260318	N
0002057602-25-000003	0	109	126201444	N
0000950123-25-005777	2	518	17559364241	N
0001062993-25-009577	0	169	967643092	N
0001811480-25-000004	1	893	3799359464	N
0001095449-25-000044	0	149	215166498	N
0001846311-25-000001	0	73	729505	N
0001011443-25-000022	0	172	3823729017	Y
0001564702-25-000009	0	726	1408231505	N
0001398344-25-009700	0	263	360523138	
0000898432-25-000379	0	533	17122284574	
0001207017-25-000047	1	3727	65132687	N
0001398344-25-009698	2	85	1876195565	
0000898432-25-000378	0	536	15239410081	
0001755535-25-000004	0	90	203620525	
0000898432-25-000377	0	533	13635354786	
0001085146-25-003359	0	176	350858545	N
0001540235-25-000003	1	4091	106354835858	N
0002057637-25-000002	0	1286	244532722	N
0001140334-25-000004	0	572	5465606097	N
0000898432-25-000376	0	527	11395279545	
0000853758-25-000005	0	2148	43593074876	N
0000898432-25-000375	0	21	9660708805	
0001398344-25-009691	0	718	146655170	
0000898432-25-000374	0	21	9344942429	
0000898432-25-000373	0	21	8300222183	
0001140361-25-019342	1	6	517463203	
0001420506-25-001302	0	362	704131057	N
0000898432-25-000372	0	21	7314264268	
0000950123-25-005772	0	1	385209750	N
0000898432-25-000371	0	21	6139469678	
0001001011-25-000007	0	161	144338452	N
0000898432-25-000370	0	20	5907833777	
0001106832-25-000004	0	280	2885411044	N
0000898432-25-000369	0	17	6332647793	
0001966440-25-000003	0	1	7888000	N
0000898432-25-000368	0	19	5815453794	
0000950123-25-005761	9	181	24079232251	N
0001172661-25-002410	0	84	253892918	
0001062993-25-009571	0	43	82117414	N
0000898432-25-000367	0	18	4618912040	
0001999371-25-006263	0	512	235616868	
0002062492-25-000004	0	29	138530954	N
0001904897-25-000005	0	9	1073020170	
0000898432-25-000366	0	18	4011645642	
0000898432-25-000365	0	16	3107516985	
0001104659-25-049586	0	63	2457533567	
0000895345-25-000174	1	1	607474502	
0002062492-25-000003	0	28	153892032	N
0001386935-25-000002	0	476	1288207336	N
0002005378-25-000002	0	52	180966229	N
0001999371-25-006258	0	662	4900609227	
0001172661-25-002409	0	160	250244595	
0001641172-25-011060	0	34	37885627	
0000898432-25-000364	0	16	2497507508	
0000898432-25-000363	0	15	1901307081	
0000898432-25-000362	0	15	1520770733	
0001791827-25-000005	0	67	524678504	N
0001830922-25-000005	0	148	256922336	N
0001345471-25-000018	3	11	3735730306	N
0001172661-25-002408	0	568	9707259284	
0000898432-25-000361	0	15	1095531539	
0001815217-25-000002	0	99	269328813	N
0001104659-25-049578	0	56	1057997904	
0001172661-25-002407	0	38	16557982923	
0001632813-25-000002	2	292	7549647	N
0001911286-25-000002	0	3	932759	N
0001993607-25-000002	0	59	282743037	N
0001085146-25-003358	0	14	1073797857	N
0001420506-25-001301	0	111	966171276	N
0001085146-25-003357	0	71	168123855	N
0001085146-25-003356	0	80	182947260	N
0001415889-25-013201	1	216	59549362885	N
0001866872-25-000005	0	31	1705019663	N
0000921895-25-001556	0	10	44198623	
0000898432-25-000359	0	13	1073534808	
0001705819-25-000039	0	89	95257074	
0001104659-25-049574	0	145	2516706679	
0002050308-25-000002	0	106	186399321	N
0001705819-25-000038	0	87	94448241	
0001346554-25-000019	0	302	7017912085	N
0001892688-25-000129	0	21	281283376	N
0001085146-25-003354	0	1	0	N
0001449434-25-000003	1	51	5242844629	N
0000921895-25-001555	3	20	709007181	
0001085146-25-003353	0	2	349057	N
0001999371-25-006243	0	37	875711490	
0000945621-25-000506	0	41	2518760352	
0001830922-25-000004	0	122	156102416	N
0001974915-25-000005	0	63	1400316542	N
0001172661-25-002405	0	285	215351991	
0001618205-25-000002	0	68	115165860	N
0001340807-25-000004	0	21	851856261	N
0001085146-25-003352	0	59	2815473081	N
0001892688-25-000128	0	13	185694951	N
0001599016-25-000003	0	49	289628869	N
0000950123-25-005756	0	43	581677555	N
0000950123-25-005757	0	6	69438939	N
0001104659-25-049549	0	86	5987912728	
0001085146-25-003350	0	151	655252500	N
0001172661-25-002402	0	70	205306082	
0002022297-25-000008	8	5117	20202938375	N
0001825564-25-000005	0	3	1194566270	N
0001010911-25-000010	0	504	305894786	N
0000950123-25-005755	1	172	4634888690	N
0001878495-25-000012	0	29	446677633	N
0001012975-25-000254	4	41	4188826234	N
0001777813-25-000005	0	44	3294076456	N
0001892134-25-000005	0	47	2187908599	N
0000947871-25-000534	4	62	11454295468	
0000902664-25-002434	0	194	134895695	
0000905148-25-001771	0	7	250091332	
0001682475-25-000003	0	20	68978039	N
