ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000900974-25-000003	0	2721	5351797753	N
0001398344-25-008970	0	213	1756543843	
0002009427-25-000003	0	47	60374076	N
0002063364-25-000079	0	61	122379913	N
0000950123-25-004268	0	7	162815143	N
0001642305-25-000003	0	443	626811	N
0001398344-25-008966	0	852	2979793108	
0002066265-25-000001	0	121	195337010	N
0001056559-25-000002	0	420	2191808251	N
0001398344-25-008964	2	4134	787627344	
0001085146-25-002781	0	1592	13788297471	N
0000903949-25-000003	0	213	5774733892	N
0001085146-25-002780	3	293	2118113034	N
0001172661-25-001617	0	69	165559268	
0001085146-25-002779	0	156	768405181	N
0001085146-25-002778	0	81	248176042	N
0001085146-25-002777	0	0	0	N
0000922423-25-000032	0	1	0	Y
0001085146-25-002775	1	23	59409150	N
0001085146-25-002774	0	0	0	N
0001085146-25-002773	0	113	144574319	N
0001085146-25-002772	0	45	43045467	N
0001085146-25-002771	0	111	407294902	N
0001085146-25-002770	0	443	202296512	N
0001085146-25-002769	0	64	179581664	N
0001085146-25-002768	0	31	134995223	N
0001734493-25-000006	0	111	1232086723	N
0000922423-25-000030	0	1	0	Y
0001085146-25-002767	0	161	219045451	N
0001085146-25-002766	0	147	646666780	N
0001085146-25-002765	0	167	254366376	N
0001085146-25-002764	0	513	1151773418	N
0001085146-25-002763	0	1385	4646009385	N
0001085146-25-002762	0	984	2301455611	N
0001085146-25-002761	0	2081	44301564608	N
0001104659-25-045968	0	78	239956279	
0000825293-25-000005	0	313	551388637	N
0001085146-25-002760	0	179	1087955930	N
0001085146-25-002759	0	170	298416778	N
0001085146-25-002758	0	72	128690911	N
0001085146-25-002757	2	818	9816157522	N
0001085146-25-002756	0	0	0	N
0001085146-25-002755	0	0	0	N
0001085146-25-002753	0	92	215871588	N
0001085146-25-002752	0	39	504245227	N
0001085146-25-002751	0	119	170063444	N
0001085146-25-002750	0	65	488760719	N
0001085146-25-002749	0	94	472295877	N
0001085146-25-002748	0	379	3981804555	N
0001085146-25-002747	0	76	276355156	N
0000825293-25-000004	0	304	319490728	N
0001085146-25-002745	0	113	2010871833	N
0001085146-25-002744	0	593	5160168880	N
0001803593-25-000006	0	76	489822038	
0001104659-25-045964	0	276	2083163350	
0001800798-25-000002	0	2066	2647399019	N
0000825293-25-000003	0	40	51244643	N
0001104659-25-045961	0	12	66038468	
0001650290-25-000003	0	432	10709270996	N
0002048423-25-000004	0	712	120792920	N
0002054942-25-000002	0	64	39098735	N
0001126395-25-000004	0	1407	5106871394	N
0000950123-25-004263	0	132	237392112	N
0002064920-25-000001	0	41	158119904	N
0001725547-25-002048	1	78	179373487	N
0001104659-25-045954	1	37	332768776	
0001818535-25-000002	0	117	182825286	N
0001281761-25-000046	3	991	13421578675	N
0000950123-25-004260	1	604	2481770060	N
0001104659-25-045947	1	10	41787329	
0002043729-25-000002	0	29	184631408	N
0001104659-25-045938	1	1	632250	
0001104659-25-045935	1	60	5722909435	Y
0001104659-25-045932	0	51	4478988217	
0001104659-25-045927	1	22	30141972	
0001725547-25-002047	0	64	239962769	N
0001104659-25-045924	1	24	174485847	
0001536925-25-000004	0	1159	2974103	N
0001667731-25-000609	1	64	111762330	
0001667731-25-000608	0	151	832375692	
0002066080-25-000003	0	47	263039611	N
0002057936-25-000002	0	28	124694	N
0001667731-25-000607	0	178	126050552	
0001214659-25-007136	0	41	44900413	
0001700286-25-000008	0	43	549998421	
0001082461-25-000002	0	217	1490134	N
0002011184-25-000011	0	186	602108579	N
0001793755-25-000003	0	943	2271700	N
0001178913-25-001658	1	10	152907346	
0001623632-25-000548	7	4009	46357056991	
0001362033-25-000006	0	1596	1106123	N
0001828180-25-000004	0	9	428240055	N
0001673907-25-000004	0	179	2675881	N
0000929638-25-001807	0	21	1178885250	
0001846639-25-000005	0	25	44198723	N
0001901361-25-000005	0	49	187115038	N
0001104659-25-045764	0	1	22113976	
0001420506-25-000929	0	39	630501664	N
0002042565-25-000002	0	15	239654716	N
0001764754-25-000010	0	3071	3960773689	N
0001085146-25-002738	0	56	180912413	N
0001085146-25-002741	0	17	251303302	N
0001694126-25-000003	1	742	2017739000	N
0001828301-25-000025	6	2331	1954945415	N
0001086763-25-000007	2	572	2456842233	
0001956471-25-000005	0	51	226712838	N
0001420506-25-000926	0	252	160992479	N
0001085146-25-002739	0	55	116544479	N
0001104659-25-045676	0	133	281593657	
0000709428-25-000004	0	384	1000609057	N
0001549449-25-000003	0	33	310481	N
0001085146-25-002740	0	139	115162505	N
0001173460-25-000002	0	6	737644	N
0001104659-25-045686	0	27	356489453	
0001140361-25-017766	0	182	71543646088	
0001371726-25-000003	0	50	424001329	N
0002035951-25-000003	0	165	191047496	N
0001509508-25-000003	0	73	411872719	N
0000945621-25-000421	1	132	20709139529	
0001764754-25-000009	0	894	1306592873	N
0001960860-25-000002	0	217	256642580	N
0001407382-25-000005	0	97	903955269	N
0000897423-25-000040	2	0	0	Y
0001104659-25-045607	0	71	1174715	
0002065807-25-000012	0	283	215414457	N
0002065807-25-000011	0	291	199720592	N
0001697721-25-000004	0	7	308665340	N
0002065807-25-000010	0	292	202767782	N
0000904454-25-000238	1	20	341871888	
0001483870-25-000002	2	841	2838394263	N
0002065807-25-000009	0	289	190198848	N
0000201772-25-000005	0	303	479358729	N
0002065807-25-000008	0	283	186232976	N
0002065807-25-000007	0	278	174746841	N
0002019084-25-000002	0	136	164108053	N
0001398344-25-008929	0	2135	1481930546	
0002065807-25-000006	0	282	154205969	N
0002065807-25-000005	0	284	156089885	N
0002065807-25-000004	0	279	143706581	N
0001398344-25-008926	0	574	1667140377	
0001665018-25-000003	0	22	530391197	N
0000806097-25-000005	1	92	322933342	N
0000897069-25-000939	1	1	73198000	
0001398344-25-008919	0	78	135578790	
0000950123-25-004223	0	7	60208868	N
0002065807-25-000003	0	260	127819628	N
0000950123-25-004222	0	2	58624552	N
0000897423-25-000039	0	0	0	Y
0001093276-25-000006	0	122	654284106	N
0001987321-25-000005	0	99	293393597	N
0001669162-25-000031	1	36	406512262	N
0001636587-25-000016	0	21	190483507	
0001398344-25-008914	0	245	230655219	
0000947484-25-000048	1	4	358574	N
0001094584-25-000002	0	455	131179	N
0002032486-25-000006	0	60	135592030	N
0002065777-25-000001	0	479	104140405	N
0002016719-25-000003	0	265	109076375	N
0001104659-25-045515	0	7	4810224563	
0001802244-25-000004	0	96	115359808	N
0001085146-25-002728	0	149	161994594	N
0001615135-25-000003	0	65	340826848	N
0002013988-25-000004	0	107	314471	N
0001140361-25-017685	0	4	153125724	
0001085146-25-002727	0	87	106316109	N
0001539041-25-000015	0	931	5808165	
0000897423-25-000038	2	0	0	Y
0002013988-25-000003	0	106	313673	N
0001631864-25-000005	0	366	1071933668	N
0002010765-25-000004	0	224	345815971	N
0001754960-25-000284	0	12	139419930	N
0002013988-25-000002	1	157	154256	N
0001044905-25-000003	0	317	1493628660	N
0001975730-25-000005	0	112	138450	N
0001066816-25-000003	0	579	761463454	N
0001754960-25-000283	0	153	444359177	N
0001951757-25-000530	0	76	105433950	N
0001951757-25-000529	0	74	98123844	N
0001333709-25-000005	0	69	684632693	N
0001951757-25-000528	0	102	94734956	N
0001085146-25-002726	0	56	85448240	Y
0001737112-25-000005	0	95	1221253124	N
0000898432-25-000317	0	23	66958374	Y
0001765380-25-000190	0	119	636851467	N
0001802224-25-000005	0	121	379071399	N
0001632844-25-000004	0	502	131914362	N
0001085146-25-002720	2	712	27682471499	N
0001774437-25-000003	0	211	260599332	N
0000897423-25-000037	1	0	0	Y
0001992110-25-000005	0	378	480684163	N
0001080493-25-000002	0	214	1078412930	N
0001172661-25-001613	0	105	856925935	
0002053150-25-000004	0	109	132463348	N
0000071633-25-000009	1	38	1559105101	N
0000071633-25-000008	0	3	297459230	N
0001104659-25-045475	0	2	68471960	
0001346378-25-000002	0	200	831938864	N
0001420506-25-000919	0	9	75283501	N
0001990699-25-000002	0	531	868900197	N
0001754960-25-000282	0	192	459820353	N
0001062993-25-008740	0	1667	70329681300	N
0000897423-25-000036	1	0	0	Y
0002054111-25-000003	0	176	393623929	
0001172661-25-001612	0	127	384689987	
0001667731-25-000606	0	221	544212326	
0001757282-25-000004	0	84	214953	N
0001765380-25-000189	0	76	269793764	N
0001172661-25-001611	0	181	1118596132	
0001019231-25-000004	0	155	583305565	N
0001420506-25-000916	0	104	295955584	N
0002035329-25-000002	0	148	451492150	N
0000950123-25-004216	0	132	225863989	N
0001214659-25-007085	0	162	30248325	
0001910146-25-000004	0	64	344614475	N
0001398344-25-008901	0	494	192253786	
0001214659-25-007083	0	176	132969267	
0001833780-25-000005	0	164	534458433	N
0001946654-25-000004	0	514	478735025	N
0001172661-25-001610	1	81	174760260	
0001941040-25-000265	0	789	3556159620	
0001982273-25-000002	0	706	792114708	N
0001172661-25-001609	0	212	624725155	
0001703556-25-000003	0	734	214289875	N
0001062993-25-008735	0	199	364834938	N
0001104659-25-045448	0	58	100050263	
0000850401-25-000013	9	641	11174935644	N
0002039659-25-000002	0	33	116486478	N
0001584086-25-000002	0	118	296606595	N
0000884300-25-000002	0	82	94838212	N
0001172661-25-001608	0	25	258488787	
0001701132-25-000005	0	174	416514751	N
0001674020-25-000004	1	292	179433432	N
0001172661-25-001607	0	130	190907004	
0001437749-25-015027	0	459	1293682107	N
0001887785-25-000002	0	3	28487	N
0001765380-25-000187	0	194	402387979	N
0001765380-25-000186	0	85	234369482	N
0001666789-25-000004	0	461	1090014052	N
0001691919-25-000028	2	116	711639375	N
0001691919-25-000026	2	174	892089518	N
0001946654-25-000003	0	19	193859180	N
0000806097-25-000002	1	92	322933	N
0001765380-25-000185	0	83	315750651	N
0001504941-25-000005	0	130	793689552	N
0001691919-25-000024	2	171	1672147881	N
0001765380-25-000184	0	250	227328921	N
0001964831-25-000004	0	212	107017342	N
0001691919-25-000022	2	192	1377634974	N
0001765380-25-000183	0	159	823629281	N
0001705819-25-000034	0	15	90629560	
0001398344-25-008889	2	153	1940372576	
0001420506-25-000913	0	451	2435370018	N
0002022076-25-000002	0	87	148169033	N
0001420506-25-000912	0	6	431072400	N
0001398344-25-008887	2	19	549005523	
0001172661-25-001606	1	450	865259314	
0001691919-25-000019	2	142	489625856	N
0001172661-25-001605	0	114	143528047	
0002012773-25-000003	0	31	140528937	N
0001085146-25-002688	0	46	108742963	N
0001765380-25-000182	0	94	205508258	N
0001172661-25-001604	0	74	116330093	
0001172661-25-001603	0	22	100536135	
0001398344-25-008880	0	253	423482158	
0001172661-25-001602	0	39	153856347	
0001951757-25-000527	5	186	187640084	N
0001398344-25-008878	0	143	479593093	
0001951757-25-000526	0	77	189257633	N
0001951757-25-000525	0	39	95073115	N
0001085146-25-002684	4	1047	5416988332	N
0001172661-25-001601	0	114	285750920	
0001691919-25-000017	0	161	655553604	N
0001951757-25-000524	0	69	93480424	N
0001951757-25-000523	0	229	306732107	N
0001172661-25-001600	0	53	148351873	
0001894830-25-000004	0	64	145963886	N
0001951757-25-000522	0	79	162118330	N
0001172661-25-001599	0	126	344267211	
0001172661-25-001598	0	85	284615325	
0001691919-25-000015	0	115	421418171	N
0001172661-25-001597	0	89	405641966	
0001426748-25-000002	0	103	4112688	N
0001748271-25-000004	0	137	3862424582	N
0001714341-25-000002	0	127	192751087	N
0001403438-25-000003	0	5344	257147939183	N
0001398344-25-008871	0	152	357241762	
0001480916-25-000003	0	0	0	N
0001104659-25-045424	0	1	99410242	
0001398344-25-008869	0	164	313752154	
0001946654-25-000002	0	82	201680017	N
0001691919-25-000013	0	88	372376541	N
0002044874-25-000004	0	82	76056600	N
0001062993-25-008726	0	147	525425149	N
0001612415-25-000001	0	14	165943252	N
0002009346-25-000004	0	197	165009472	N
0001572838-25-000006	0	504	1656032167	N
0001977794-25-000005	0	53	185665429	
0000924166-25-000006	1	566	1318387203	N
0001214659-25-007067	1	31	607946646	
0001085146-25-002683	0	22	97475949	N
0001214659-25-007065	1	14	961073136	
0001214659-25-007063	1	199	8573041220	
0001765380-25-000181	0	160	470098314	N
0001974403-25-000002	0	103	178450906	N
0001588873-25-000003	0	55	7897819	N
0001765380-25-000180	0	64	602550077	N
0002067277-25-000001	0	85	109693481	N
0001765380-25-000179	0	100	179119275	N
0001896071-25-000004	0	1	101359276	N
0000947871-25-000457	0	2630	34828866224	
0001831132-25-000003	0	26	323133980	N
0001765380-25-000178	0	229	856806024	N
0001376474-25-000434	0	23	64740261	
0001104659-25-045405	0	83	132022595	
0001765380-25-000177	0	264	697944713	N
0001483467-25-000006	0	368	833114685	N
0001798686-25-000004	0	84	493151671	N
0001765380-25-000176	0	120	572374594	N
0000789307-25-000011	0	185	110921265	N
0001765380-25-000175	0	141	283109711	N
0001492815-25-000003	0	25	342224620	N
0001214659-25-007057	9	76	478985313	
0001104659-25-045396	0	196	9990618425	
0001172661-25-001596	0	169	503764096	
0001483467-25-000005	0	17	360246167	N
0001765380-25-000174	0	318	955646067	N
0001674627-25-000004	0	37	163532014	N
0001306333-25-000004	0	797	946835252	N
0001172661-25-001595	0	124	571582224	
0001104659-25-045390	0	93	290807755	
0001665337-25-000003	16	694	502327840	N
0001765380-25-000173	0	103	733336052	N
0000950123-25-004199	1	1680	108644282162	N
0001172661-25-001594	0	1221	11944634944	
0001172661-25-001593	0	69	578008138	
0002053642-25-000002	0	156	142005089	N
0001398344-25-008854	0	127	431378550	
0001172661-25-001592	0	49	128006490	
0001697274-25-000003	0	863	376500200	N
0001688666-25-000003	0	361	1452190070	N
0001214659-25-007055	0	439	968973935	
0001172661-25-001590	0	71	268706815	
0001172661-25-001589	0	69	256436460	
0001398344-25-008850	0	367	1203597974	
0001667731-25-000604	0	16	27960509	
0001178913-25-001635	0	64	401197227	
0001178913-25-001633	0	63	1221688068	
0001694283-25-000003	0	71	154871490	N
0001524408-25-000007	0	63	3113987	N
0001965307-25-000003	0	134	133046	N
0000897069-25-000937	0	427	7212235078	
0000950123-25-004193	0	11	320657581	N
0000892712-25-000061	0	202	1741553718	N
0001534653-25-000007	1	913	142366824	N
0002063364-25-000077	0	63	310403480	N
0001085146-25-002676	0	265	689399066	N
0001818897-25-000003	0	106	412109000	N
0000004977-25-000077	1	3	136935310	N
0001420506-25-000908	0	45	157861200	N
0000018748-25-000002	0	27	1050793455	
0000892712-25-000060	0	155	414951585	N
0001667731-25-000603	0	224	1019763505	
0001420506-25-000905	0	40	266863867	N
0001140361-25-017622	2	188	7757167828	
0001667731-25-000602	0	202	2447254177	
0001667731-25-000601	0	77	78397584	
0001214659-25-007053	0	20	307662716	
0001667731-25-000600	1	114	1531710864	
0001398344-25-008845	0	294	1359315024	
0001062993-25-008714	0	77	677326732	N
0001213900-25-040428	0	4	103045189	
0000950123-25-004190	3	3	26370531	N
0001398344-25-008843	0	190	144839625	
0001178913-25-001625	2	536	6533328442	
0001104659-25-045346	2	64	631424936	
0001134813-25-000005	0	228	402769	N
0001088875-25-000049	4	902	114586080906	N
0001745907-25-000034	0	45	1255995777	N
0001569606-25-000003	0	0	0	N
0002035224-25-000018	0	8	264084890	N
0001104659-25-045237	0	1	1502833	
0002039300-25-000003	0	19	116058160	N
0002021762-25-000003	0	63	78401311	N
0001754960-25-000279	0	17	187583343	N
0001986152-25-000041	0	115	148106445	N
0001809525-25-000003	0	17	212763820	N
0001142031-25-000021	0	216	2779772711	N
0001986152-25-000042	0	36	213588991	N
0001722512-25-000004	0	339	1906877999	N
0001754960-25-000280	0	27	123560622	N
0001104659-25-045148	0	80	834804403	
0001943822-25-000003	0	25	343393256	N
0000950123-25-004158	0	5	112337004	N
0001085146-25-002672	0	254	732815805	N
0001754960-25-000281	0	586	425700167	N
0001104659-25-045146	0	94	304159295	
0001420506-25-000901	0	70	277863103	N
0000911270-25-000005	0	48	380121853	N
0001854024-25-000003	0	6	77081027	N
0001483467-25-000003	0	124	502795917	N
0001140361-25-017560	0	24	138951576	
0002067126-25-000002	0	177	223802894	N
0001388028-25-000002	0	76	429724279	N
0001661535-25-000001	4	215	126205306	N
0001594167-25-000004	0	2	79236	N
0002067126-25-000001	0	176	227770233	N
0001420506-25-000897	0	27	145651714	N
0001911391-25-000005	0	104	172627286	N
0001172661-25-001588	0	27	5941699001	
0001727783-25-000004	0	270	314181253	N
0001172661-25-001587	0	87	372011159	
0001123292-25-000200	0	2	46062839	
0000945621-25-000416	0	31	1612866365	
0001344551-25-000008	1	2623	36406562651	
0001104659-25-045097	0	9	2421217066	
0001172661-25-001586	0	87	208773884	
0001104659-25-045095	0	299	724001001	
0001735605-25-000003	0	138	286766	N
0001398344-25-008796	0	68	181991023	
0001950962-25-000004	0	84	287392786	N
0001398344-25-008794	0	155	556089528	
0001172661-25-001585	0	97	202734922	
0001272544-25-000002	0	93	251304286	N
0000906304-25-000113	0	796	9225756617	
0002066812-25-000004	0	426	582087341	N
0001652442-25-000003	0	103	3193098276	N
0001415889-25-012100	0	1	29636526	N
0001398344-25-008790	0	116	550880127	
0001910179-25-000003	0	56	221051	N
0002009275-25-000006	0	51	871256322	N
0001398344-25-008787	0	121	290587140	
0001398344-25-008786	0	279	503824233	
0001606507-25-000004	0	75	131955923	N
0000950123-25-004108	0	37	2854639048	N
0001055963-25-000002	0	120	519152762	N
0001535865-25-000009	1	1890	7801542594	
0001420506-25-000892	0	71	294228561	N
0001167026-25-000004	0	120	284087697	N
0001951757-25-000521	1	340	1399074776	N
0000950123-25-004101	0	51	375506332	N
0001085146-25-002663	0	56	120609563	N
0001951757-25-000520	0	115	158437704	N
0001951757-25-000519	0	77	94996908	N
0001135428-25-000017	0	72	787114	Y
0001951757-25-000518	0	79	105050169	N
0000950123-25-004098	2	2	4178285833	N
0001951757-25-000517	0	281	669918750	N
0000950123-25-004096	0	1	58818743	N
0001951757-25-000516	0	45	135300898	N
0001666910-25-000002	0	37	194699855	N
0001951757-25-000515	0	307	601742049	N
0001888831-25-000003	0	100	161379530	N
0001909316-25-000003	12	2156	2866715075	N
0001420506-25-000887	0	26	93180755	N
0002064813-25-000013	0	19	73209298	N
0000894189-25-003627	0	3649	42729362045	
0002064813-25-000012	0	19	53850752	N
0002064813-25-000011	0	9	34110114	N
0002064813-25-000010	0	17	45178745	N
0001672355-25-000004	0	26	547248645	N
0001085146-25-002659	0	26	103353201	N
0001262677-25-000002	0	232	450234250	N
0001085146-25-002658	0	3975	51629914595	N
0002064813-25-000009	0	4	9866629	N
0000919530-25-000002	0	170	648356422	N
0001085146-25-002657	0	2227	16481539079	N
0001085146-25-002656	0	252	334788602	N
0001085146-25-002655	0	76	212174641	N
0001765380-25-000172	0	203	689574733	N
0002064813-25-000008	0	20	65937899	N
0002064813-25-000007	0	25	63565775	N
0002064813-25-000006	0	7	14071878	N
0001584087-25-000017	0	112	185825764	N
0001214659-25-007031	0	101	398406548	
0002064813-25-000005	0	6	21543865	N
0001888610-25-000002	0	14	112063072	N
0001891201-25-000002	0	235	226597810	N
0002064813-25-000004	0	15	59365326	N
0002064813-25-000003	0	10	81699706	N
0001262677-25-000001	0	124	502795917	N
0001910205-25-000002	0	229	149787461	N
0002064813-25-000002	0	6	45964195	N
0001276853-25-000004	0	125	698092006	N
0001727573-25-000005	0	68	327761308	N
0001085146-25-002654	7	1739	878810979	
0001377581-25-000004	0	57	6237902437	N
0001085146-25-002653	0	577	944632128	N
0001085146-25-002652	0	140	500504607	N
0001085146-25-002651	0	180	290956916	N
0001765380-25-000171	0	123	207507782	N
0001085146-25-002649	0	34	195357502	N
0001085146-25-002648	0	482	4212620306	N
0001085146-25-002647	0	136	211093491	N
0001085146-25-002646	0	275	337085121	N
0001715635-25-000003	0	91	601665469	N
0001085146-25-002645	0	15	104105122	N
0001085146-25-002644	0	105	121108077	N
0001217541-25-000009	0	174	21815417747	N
0001085146-25-002643	0	90	159946525	N
0001085146-25-002642	0	23	25933490	N
0001085146-25-002641	1	72	4779708638	N
0001085146-25-002640	0	0	0	N
0001085146-25-002639	0	828	6824527412	N
0001085146-25-002638	0	175	786049369	N
0001085146-25-002637	0	43	95187080	N
0001376772-25-000003	0	128	392606000	N
0001085146-25-002636	0	35	92841656	N
0001085146-25-002635	0	143	495487176	N
0001085146-25-002634	0	21	113250308	N
0001437749-25-014714	1	115	149000669	N
0001376474-25-000433	3	197	330168422	
0001976157-25-000003	0	89	159916419	N
0001142495-25-000027	0	1111	2724592	N
0001085146-25-002632	0	208	493013631	N
0000950123-25-004086	0	146	477922676	N
0000950123-25-004085	0	1	0	N
0001420506-25-000882	0	155	64383231	N
0001765380-25-000170	0	231	379078588	N
0001633624-25-000002	0	27	39640917	N
0001455495-25-000004	0	344	843043231	N
0001085146-25-002630	0	52	562632408	N
0001121477-25-000008	0	429	312791452	
0002052538-25-000004	0	34	105340519	N
0001085146-25-002629	0	71	189915228	N
0001844142-25-000002	0	97	250100000	N
0000940445-25-000004	1	636	2748321197	N
0001085146-25-002628	0	70	97978695	N
0001765380-25-000169	0	134	940791224	N
0000905729-25-000088	0	24	133277085	
0001215208-25-000005	5	221	184062167	N
0001085146-25-002627	1	49	209587637	N
0001704212-25-000003	0	115	442254908	N
0001376474-25-000432	0	4	651136071	
0001215208-25-000004	5	307	166551440	N
0002011201-25-000001	0	101	113786380	N
0001697723-25-000003	48	16117	11891319324	N
0001541496-25-000006	0	129	734717691	
0001587192-25-000002	0	458	446927412	N
0001885092-25-000003	0	3	1580824	N
0002013339-25-000002	0	202	165684917	N
0001999371-25-005506	0	332	363507	
0001730765-25-000004	0	276	300237760	N
0001056488-25-000004	0	61	90907925	N
0001580642-25-002883	0	69	396107774	
0001172661-25-001584	0	0	0	
0001215208-25-000003	4	218	194450887	N
0001580642-25-002881	0	237	361290913	
0001172661-25-001583	0	103	383912931	
0001140361-25-017475	0	1	0	
0000709447-25-000021	0	126	111135657	N
0001140361-25-017473	0	1	0	
0001215208-25-000002	6	312	320777276	N
0001140361-25-017471	0	142	1032505731	
0001132699-25-000002	0	254	1216012	N
0001999371-25-005501	0	340	124514131	
0001666363-25-000005	0	1057	1921522574	N
0001398344-25-008756	0	352	811655565	
0001214659-25-007022	0	77	144125038	
0001755987-25-000005	0	398	496719111	N
0001140361-25-017463	0	150	310962421	
0001581811-25-000005	1	27	8666730806	N
0001765380-25-000168	0	61	1535655067	N
0001476804-25-000004	0	318	1386003177	N
0001598841-25-000002	1	238	774775938	N
0002010710-25-000002	1	129	255489213	N
0001964189-25-000001	2	185	3778592827	N
0002054682-25-000003	0	70	197288621	N
0001437749-25-014677	0	118	208471679	N
0002012303-25-000002	7	1227	131364091	N
0001954889-25-000019	0	349	8975398153	N
0001718570-25-000002	0	267	3479515	N
0001821268-25-000098	0	563	742197378	
0002023709-25-000002	0	133	74128080	N
0001518364-25-000004	0	238	1610621522	N
0001373017-25-000005	0	69	440942444	N
0001215208-25-000001	6	464	574417906	N
0001313871-25-000003	0	166	151463930	N
0001394096-25-000002	0	81	630875	N
0000911927-25-000002	0	91	186024832	N
0001725547-25-001943	0	229	401415967	N
0001398344-25-008739	0	47	138978860	
0001398344-25-008738	0	128	609327406	
0001765380-25-000167	0	148	1648977011	N
0001172661-25-001582	0	33	88102351	
0001172661-25-001581	0	92	223566916	
0001172661-25-001580	0	101	214566150	
0001398344-25-008734	0	14	236659705	
0001172661-25-001579	0	20	248557296	
0001214659-25-007008	0	589	3000681975	
0001172661-25-001578	0	237	2138695145	
0001744348-25-000003	0	227	337973945	N
0001214659-25-007006	0	41	170158000	
0001214659-25-007004	1	29	219590258	
0001172661-25-001577	0	113	346984533	
0001085146-25-002624	0	152	203652337	N
0001633674-25-000002	0	539	168399559	N
0001214659-25-007002	1	81	241557339	
0002063364-25-000075	0	95	110637445	N
0001214659-25-007000	1	389	1293892047	
0001717443-25-000004	0	2252	20399522127	N
0002044309-25-000003	0	34	102952079	N
0002007116-25-000002	0	41	199026125	N
0001290668-25-000002	4	100	17928284678	N
0001705819-25-000033	0	38	337803156	
0001765380-25-000166	0	101	437170885	N
0002011081-25-000005	0	54	484625881	N
0001705819-25-000032	0	33	205791677	
0002025098-25-000004	0	7	399000303	N
0001597089-25-000004	0	96	175094772	
0001765380-25-000165	0	21	84121547	N
0001062993-25-008546	0	55	1468465327	N
0001667731-25-000599	0	190	647782837	
0001667731-25-000598	0	52	87781856	
0000950123-25-004070	0	98	4084250206	N
0001667731-25-000597	1	279	235105467	
0001602905-25-000003	0	937	1390226214	N
0001104659-25-044858	0	380	258332190	
0001398344-25-008723	0	166	577715525	
0001062993-25-008542	0	65	17847568524	N
0001843527-25-000003	0	30	307535644	N
0000905148-25-001456	0	1	49520135	
0001764756-25-000003	0	15	2650311236	N
0001667731-25-000596	0	49	132022728	
0001667731-25-000595	0	102	238371911	
0001667731-25-000594	0	73	719580538	
0001104659-25-044834	0	104	521232350	
0001420506-25-000880	0	113	242002253	N
0001544599-25-000003	0	617	30649781120	N
0001773368-25-000002	0	107	1345078	N
0001104659-25-044788	1	3	2270397463	
0001869683-25-000005	0	16	55567041	N
0002057170-25-000004	4	1986	50078272129	N
0000950123-25-004066	0	9	165944772	N
0001214659-25-006995	0	1440	6443240790	
0001214659-25-006993	0	27	146223753	
0001754960-25-000277	2	48	161666444	N
0001080173-25-000004	0	114	297591546	N
0001085146-25-002618	0	36	218923551	N
0001941040-25-000260	0	68	362209398	
0001085146-25-002609	0	31	194163321	N
0001085146-25-002614	0	99	1107626623	N
0001780507-25-000008	0	124	307826907	N
0001420506-25-000877	0	38	124363152	N
0001085146-25-002622	0	106	1445440912	N
0001085146-25-002612	0	329	510877582	N
0001034549-25-000004	0	510	376178060	N
0001034642-25-000002	0	384	2704310648	N
0000894119-25-000003	0	21	217256092	N
0001085146-25-002613	0	695	1789398717	N
0002065807-25-000002	0	273	241896031	N
0001085146-25-002619	0	21	142407634	N
0001754960-25-000276	0	81	91715629	N
0002066359-25-000001	0	45	109474130	N
0001085146-25-002620	0	114	357304015	N
0001772875-25-000019	0	1142	1475775566	N
0001214659-25-006988	0	5	17344667	
0001958743-25-000003	0	196	327437524	N
0002050660-25-000003	0	497	278258033	N
0001580642-25-002850	0	504	378237356	
0001486946-25-000002	0	113	823676709	N
0001852338-25-000003	0	18	181899851	N
0001085146-25-002616	0	126	217810277	N
0001803140-25-000002	0	139	217711210	N
0001085146-25-002615	0	0	0	N
0001085146-25-002611	0	262	1874372997	N
0001085146-25-002617	0	101	578962819	N
0001085146-25-002621	0	54	387090808	N
0001085146-25-002610	0	124	599526498	N
0001863894-25-000003	0	43	167332752	N
0001941040-25-000261	0	19	124786292	
0001962373-25-000012	0	4	16639346	N
0001754960-25-000275	0	155	227850702	N
0001909828-25-000004	0	73	170287209	N
0000943712-25-000016	0	2	260413563	N
0001535862-25-000002	0	21	175271554	N
0001766995-25-000002	0	78	326309956	N
0001951757-25-000514	0	84	88317756	N
0001951757-25-000513	0	133	121109592	N
0001803386-25-000003	0	124	177717194	N
0001951757-25-000512	0	61	123493312	N
0001900481-25-000004	0	150	254310992	N
0001951757-25-000511	0	35	127315079	N
0001951757-25-000510	2	516	826365254	N
0000903603-25-000003	0	2	110832427	N
0001951757-25-000509	0	96	582525363	N
0001951757-25-000508	10	152	96747707	N
0001951757-25-000507	10	142	93983881	N
0001951757-25-000506	0	170	589039409	N
0001951757-25-000505	0	55	146157630	N
0001951757-25-000504	0	8	89006008	N
0001951757-25-000503	0	233	626170098	N
0001951757-25-000502	0	46	120435538	N
0000905729-25-000087	0	182	162929251	
0001352860-25-000003	0	724	527970334	N
0001172661-25-001576	0	96	338303229	
0001908177-25-000002	0	155	474996636	N
0001941040-25-000259	0	161	267319568	
0001911307-25-000002	0	40	161310707	N
0001906799-25-000001	0	206	322799943	N
