ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001739439-25-000010	196823	0001739439	028-18743			Rockefeller Capital Management L.P.
0001649553-25-000096	197205	0001081698	028-13218			HEIGHTS CAPITAL MANAGEMENT, INC
0001628277-25-000002	196115	0001444949	028-13217			SUSQUEHANNA ADVISORS GROUP, INC.
0001011712-25-000009	196825	0001444949	028-13217			SUSQUEHANNA ADVISORS GROUP, INC.
0001739439-25-000009	196489	0001739439	028-18743			Rockefeller Capital Management L.P.
0001580642-25-003111	197123			000158401	801-79153	RFG Advisory, LLC
0001580642-25-003111	197124			000173862	801-112697	RFG Holdings Inc.
0001580642-25-003111	197125			000107271	801-43144	Savant Wealth Management
0001580642-25-003111	197126			000318493	801-123656	Savvy Wealth, Inc
0001580642-25-003111	197127			000109901	801-55783	Sentinal Pension Advisors, Inc.
0001580642-25-003111	197128			000046947	801-71178	Silver Oak Securities Incorporated
0001580642-25-003111	197129			000319437	801-13165	Split Creek Capital, LLC
0001580642-25-003111	197130			000109677	801-33774	Strategic Financial Services, Inc.
0001580642-25-003111	197131			000165839	801-108752	Strategic Income Group LLC
0001580642-25-003111	197132			000314424	801-121182	The Ascent Group, LLC
0001580642-25-003111	197133			000123255	801-77097	The Fragasso Group Inc
0001580642-25-003111	197134			000169006	801-79164	The Martin Worley Group
0001580642-25-003111	197135			000105902	801-40745	THOR Investment Management, Inc
0001580642-25-003111	197136			000288576	801-110591	TownSquare Capital, LLC
0001580642-25-003111	197137			000311298	801-119910	Transitus Wealth Partners, LLC
0001580642-25-003111	197138			000323123	801-126689	TSA Wealth Management LLC
0001580642-25-003111	197139			000154543	801-76551	Two West Capital Advisors LLC
0001580642-25-003111	197140			000170372	801-79160	Wealth Management Group, L.L.C.
0001580642-25-003111	197141			000106176	801-113165	Weinberger Asset Management, Inc
0001580642-25-003111	197142			000139237	801-66794	Werba Rubin Papier Wealth Management, LLC
0001580642-25-003111	197143			000108834	801-57629	WrapManager, Inc.
0001580642-25-003111	197144			000285967	801-118916	XY Investment Solutions
0001580642-25-003111	197064			000323124	801-126678	Avid Wealth Partners, LLC
0001580642-25-003111	197065			000164081	801-76763	Axxcess Wealth Management, LLC
0001580642-25-003111	197066			000152977	801-122717	Bauer Wealth Management, LLC
0001580642-25-003111	197067			000299805	801-114547	Bison Wealth, LLC
0001580642-25-003111	197068			000291459	801-112524	BlackDiamond Wealth Management, LLC
0001580642-25-003111	197069			000318366	801-123232	Bleakley Financial Group, LLC
0001580642-25-003111	197070			000107202	801-118602	Blue Barn Wealth, LLC
0001580642-25-003111	197071			000285359	801-108434	Bryn Mawr Capital Management, LLC
0001580642-25-003111	197072			000106577	801-45064	CFS Investment Advisory Services LLC
0001580642-25-003111	197073			000284839	801-113243	Colonial River Investments, LLC
0001580642-25-003111	197074			000008032	801-41541	Commonwealth Financial Network
0001580642-25-003111	197075			000305013	801-117202	Connecticut Capital Management Group, LLC
0001580642-25-003111	197076			000111010	801-60130	CONTINUITY WEALTH MANAGEMENT, CORP.
0001580642-25-003111	197077			000283318		Crafted Finance, LLC
0001580642-25-003111	197078			000151156		Crescent Wealth Advisory, LLC
0001580642-25-003111	197079			000155576	801-107896	DFPG Investments, LLC
0001580642-25-003111	197080			000329878	801-129521	Diversify Wealth Management, LLC
0001580642-25-003111	197081			000318241		Divvi Wealth Management LLC
0001580642-25-003111	197082			000108052	801-57727	Earned Wealth
0001580642-25-003111	197083			000307265	801-118109	Echo45 Advisors LLC
0001580642-25-003111	197084			000307618	801-120349	Fortress Wealth Planning, LLC
0001580642-25-003111	197085			000137945	801-66892	Founders Financial Securities, LLC
0001580642-25-003111	197086			000306703	801-127881	Fourth Dimension Wealth, LLC
0001580642-25-003111	197087			000159099	801-79524	Fulcrum Equity Management, LLC
0001580642-25-003111	197088			000283850	801-107873	Fundamentum, LLC (Stratos)
0001580642-25-003111	197089			000329404	801-129402	Gatepass Capital, LLC
0001580642-25-003111	197090			000175300	801-114835	Global Strategic Investment Solutions, LLC
0001580642-25-003111	197091			000321145		Green Ocean Global Advisors LLC
0001580642-25-003111	197092			000168494	801-107338	Hobart Private Capital, LLC
0001580642-25-003111	197093			000319087	801-123434	Hoxton Planning & Management, LLC
0001580642-25-003111	197094			000172011	801-80074	HUB International Limited
0001580642-25-003111	197095			000171481	801-79769	IHT Wealth Management LLC
0001580642-25-003111	197096			000300279	801-114673	Inspire Advisors, LLC
0001580642-25-003111	197097			000299589	801-114418	Intelligence Driven Advisers, LLC
0001580642-25-003111	197098			000110433	801-12359	James Investment Research Inc
0001580642-25-003111	197059			000222515	801-116983	Aegis Wealth Group, LLC
0001580642-25-003111	197060			000135879	801-64514	Allen Capital Group, LLC
0001580642-25-003111	197061			000157423	801-72361	Alphastar Capital Management, LLC
0001580642-25-003111	197062			000145488	801-69827	Arete Wealth Advisors, LLC
0001580642-25-003111	197063			000172793	801-117954	Austin Wealth Management, LLC
0001580642-25-003111	197099			000127902	801-62249	Keel Point, LLC
0001580642-25-003111	197100			000128606	801-78914	Korhorn Financial Group
0001580642-25-003111	197101			000140599	801-71543	Larson Financial Group, LLC
0001580642-25-003111	197102			000324954	801-132141	Las Marias Consulting, LLC
